,AS MOJAZZA,VIA PRAMPOLINI CAMILLO   3,9,GINNASTICA,www.asmojazza.org,340786269
,FEDERAZIONE ITALIANA GIOCO CALCIO,VIA LAGO DI NEMI   29,6,CENTRO SPORTIVO,www.centrosportivobettinelli.it,0236530766
,TENNIS SQUASH MEDIOLANUM,VIA MONTI VINCENZO   57 A,1,CALCIO A 5,,024690405
,CIRCOLO BOCCIOFILO CACCIALANZA PIETRO,VIA PADOVA   91,2,BOCCIODROMO,,022826059
0266118268,MILANO SPORT SPA,VIA BECCALI LUIGI   7,9,PISCINA,www.milanosport.it,0266103113
,FIN FEDERAZIONE ITALIANA NUOTO LAMPUGNANO,VIA LAMPUGNANO   76,8,PISCINA,,023088390
,CENTRO BALNEARE GIUSEPPE CAIMI,VIA BOTTA CARLO   18,4,NUOTO,www.milanosport.it,
,FRANCO SCARIONI,VIA VALFURVA   9,9,CENTRO BALNEARE,www.milanosport.it,026424236
,COMASINA A.S.D.,VIA SALEMI   19,9,CALCIO A 11,,0266202505
,A.C. BRUZZANO,VIA COMASINA   115,9,CALCIO A 11,,026458357
,A.S. TENNIS CLUB LOMBARDO,VIA SISMONDI GIANCARLO   8,4,CALCIO A 5,,0270123145
,NUOVA CANOTTIERI OLONA,ALZ NAVIGLIO GRANDE   146,6,CENTRO SPORTIVO,,0248951494
,POLITECNICO DI MILANO - CS MARIO GIURIATI,VIA CARLO PASCAL 6,3,CENTRO SPORTIVO,,0270600358
,MARIA REGINA PACIS,VIA KANT EMANUELE   8,8,CALCIO A 11,,0288456074
,SANTA BARBARA IN GRATOSOGLIO,VIA FERABOLI ACHILLE   27,5,CENTRO SPORTIVO,,0288454398
,SANTA MARIA ASSUNTA IN QUINTOSOLE,VIA QUINTOSOLE 40,5,CENTRO SPORTIVO,,
,SANTA MARIA MADRE DELLA CHIESA,VIA SAPONARO MICHELE   28,5,CENTRO SPORTIVO,,
