5367,7,,1511048.05401,5032092.20699,COMUNA BAIRES,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,ASSOCIAZIONE CULTURALE AGORA' XXI,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA PARENZO 7,5367 7,8,6,COMUNA BAIRES, VIA PARENZO 7, TEATRO
3031,12,,1515909.02931,5034615.45541,CONSERVATORIO SALA PUCCINI,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PUBBLICI ESISTENTI,STATO,PUBBLICA,CONSERVATORIO "GIUSEPPE VERDI" DI MILANO,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA CONSERVATORIO 12,3031 12,71,1,CONSERVATORIO SALA PUCCINI, VIA CONSERVATORIO 12, AUDITORIUM
3031,12,,1515909.02931,5034615.45541,CONSERVATORIO SALA VERDI,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PUBBLICI ESISTENTI,STATO,PUBBLICA,CONSERVATORIO "GIUSEPPE VERDI" DI MILANO,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA CONSERVATORIO 12,3031 12,72,1,CONSERVATORIO SALA VERDI, VIA CONSERVATORIO 12, AUDITORIUM
5436,7,,1514094.63401,5030666.41201,CRT SALONE,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,PROVINCIA DI MILANO,PUBBLICA,CRT SCRL,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA DINI ULISSE 7,5436 7,9,5,CRT SALONE, VIA DINI ULISSE 7, TEATRO
609,2,,1514206.096,5034895.83349,DAL VERME,CULTURA,TEATRI E AUDITORIUM,AUDITORIUM,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO - PROVINCIA DI MILANO,PUBBLICA,FONDAZIONE I POMERIGGI MUSICALI,PUBBLICA,FONDAZIONE PARTECIPATA,IN ESERCIZIO,VIA SAN GIOVANNI SUL MURO 2,609 2,73,1,DAL VERME, VIA SAN GIOVANNI SUL MURO 2, AUDITORIUM
4105,18,,1517078.34579,5031894.91521,DELLA QUATTORDICESIMA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,IL TEATRO DI GIANNI E COSETTA COLLA,PRIVATA,CONVENZIONE,IN ESERCIZIO,VIA OGLIO 18,4105 18,10,4,DELLA QUATTORDICESIMA, VIA OGLIO 18, TEATRO
7204,4,,1513741.47731,5036754.342,FABBRICA DEL VAPORE,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,COMUNE DI MILANO,PUBBLICA,GESTIONE DIRETTA,IN ESERCIZIO,VIA PROCACCINI GIULIO CESARE 4,7204 4,11,8,FABBRICA DEL VAPORE, VIA PROCACCINI GIULIO CESARE 4, TEATRO
113,1,,1514747.7535,5034917.20261,FILODRAMMATICI,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,ACCADEMIA FILODRAMMATICI,PRIVATA,ASSOCIAZIONE IL LABORATORIO DELL'IMMAGINARIO,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA FILODRAMMATICI 1,113 1,12,1,FILODRAMMATICI, VIA FILODRAMMATICI 1, TEATRO
4073,14,,1516160.9079,5033445.26001,FRANCO PARENTI,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,TEATRO FRANCO PARENTI SOC.COOP.,PRIVATA,CONVENZIONE,IN ESERCIZIO,VIA PIER LOMBARDO 14,4073 14,13,4,FRANCO PARENTI, VIA PIER LOMBARDO 14, TEATRO
306,8,,1515240.9624,5034544.22709,GEROLAMO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,IMMOBILIARE SANITARIA CESCHINA,PRIVATA,PRIVATA,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN RISTRUTTURAZIONE,PZA BECCARIA CESARE 8,306 8,14,1,GEROLAMO, PZA BECCARIA CESARE 8, TEATRO
